sycamore street	irish surgeon		1
jervis street	irish surgeon		1
30 essex street east	irish surgeon		1
29 essex street east	irish surgeon		1
merchant's arch	irish surgeon		1
metal bridge	irish surgeon		1
wellington quay	irish surgeon		1
42 camden street lower	irish surgeon		1
25 bachelor's walk	irish surgeon		1
james's street	irish surgeon		1
5 dame street	irish surgeon		1
35 dame street	irish surgeon		1
28 james's street	irish surgeon		1
48 james's street	irish surgeon		1
2 sackville st. lower	irish surgeon		1
12 sackville st. lower	irish surgeon		1
carlisle bridge	irish surgeon		1
21 watling street	irish surgeon		1
27 bachelor's walk	irish surgeon		1
31 dame street	irish surgeon		1
island street	irish surgeon		1
watling street	irish surgeon		1
49 fleet street	irish surgeon		1
1 bedford row	irish surgeon		1
10 bedford row	irish surgeon		1
19 ormond quay lower	irish surgeon		1
31 mary's abbey	irish surgeon		1
christchurch place	irish surgeon		1
dame street	irish surgeon		1
lord edward street	irish surgeon		1
cork hill	irish surgeon		1
37 parliament street	irish surgeon		1
27 parliament street	irish surgeon		1
30 parliament street	irish surgeon		1
33 dame street	irish surgeon		1
14 nelson street	irish surgeon		1
60 mount street lower	irish surgeon		1
14 clare street	irish surgeon		1
31 merrion square north	irish surgeon		1
1 merrion square north	irish surgeon		1
23 wicklow street	irish surgeon		1
8 bridge street	irish surgeon		1
33 wicklow street	irish surgeon		1
sean heuston bridge	irish surgeon		1
ror o'more bridge	irish surgeon		1
father mathew bridge	irish surgeon		1
29 kildare street	irish surgeon		1
32 arran quay	irish surgeon		1
d'donovan rossa bridge	irish surgeon		1
34 ormond quay upper	irish surgeon		1
36 ormond quay upper	irish surgeon		1
15 wood quay	irish surgeon		1
30 ormond quay upper	irish surgeon		1
grattan bridge	irish surgeon		1
11 wellington quay	irish surgeon		1
2 wellington quay	irish surgeon		1
11 granby row upper	irish surgeon		1
26 parliament street	irish surgeon		1
82 dame street	irish surgeon		1
72 dame street	irish surgeon		1
college park	irish surgeon		1
1 leinster street	irish surgeon		1
merrion square	irish surgeon		1
2 mount street lower	irish surgeon		1
haddington road	irish surgeon		1
northumberland road	irish surgeon		1
7 eccles street	italian		1
ringsend road	italian		1
stamer street	italian		1
hume street	italian		1
nelson's pillar	italian		1
rutland square	italian		1
blessington street	italian		1
berkely street	italian		1
eccles street	italian		1
phibsborough road	italian		1
finglas road	italian		1
windmill lane	italian		1
18 rogerson's quay	italian		1
19 rogerson's quay	italian		1
lime street	italian		1
townsend street	italian		1
26 lombard street e.	italian		1
164 north strand road	italian		1
6 westland row	italian		1
49 westland row	italian		1
31 westland row	italian		1
pearse street	italian		1
cumberland street	italian		1
153 pearse street	italian		1
the coombe	italian		1
46 westland row	italian		1
1 lincoln place	italian		1
11 leinster street	italian		1
upper gardiner street	italian		1
mountjoy square	italian		1
fitzgibbon street	italian		1
great charles street	italian		1
north circular road	italian		1
