rory o'more bridge	1		irishsaint
father mathew bridge	1		irishsaint
29 kildare street	1		irishsaint
arran quay	1		irishsaint
o'donovan rossa bridge	1		irishsaint
ormond quay upper	1		irishsaint
wood quay	1		irishsaint
grattan bridge	1		irishsaint
11 wellington quay	1		irishsaint
2 wellington quay	1		irishsaint
granby row	1		irishsaint
merrion square	1		irishsaint
mount street lower	1		irishsaint
haddington road	1		irishsaint
northumberland road	1		irishsaint
loopline bridge	1		irishsaint
sandycove	1		irishsaint
dalkey, dublin bay	1		moors
sandymount strand	1		moors
leeson park	1		moors
7 eccles street	1		moors
windmill lane	1		moors
18 rogerson's quay	1		moors
19 rogerson's quay	1		moors
lime street	1		moors
townsend street	1		moors
26 lombard street e.	1		moors
164 north strand road	1		moors
6 westland row	1		moors
49 westland row	1		moors
31 westland row	1		moors
pearse street	1		moors
cumberland street	1		moors
153 pearse street	1		moors
the coombe	1		moors
46 westland row	1		moors
1 lincoln place	1		moors
11 leinster street	1		moors
arbour hill	1		moors
ringsend road	1		moors
hume street	1		moors
nelson's pillar	1		moors
rutland grove	1		moors
blessington street	1		moors
berkely street	1		moors
eccles street	1		moors
phibsborough road	1		moors
finglas road	1		moors
mountjoy square	1		moors
fitzgibbon street	1		moors
north circular road	1		moors
n. strand road	1		moors
newcomen bridge	1		moors
annesley bridge	1		moors
howth road	1		moors
malahide road	1		moors
dorset street lower	1		moors
clongowes fields	1		moors
grafton street	1		moors
college green	1		moors
8 ormond quay upper	1		moors
crampton court	1		moors
sycamore street	1		moors
jervis street	1		moors
essex street east	1		moors
merchant's arch	1		moors
wellington quay	1		moors
42 camden street lower	1		moors
25 bachelor's walk	1		moors
dame street	1		moors
o'connell bridge	1		moors
watling street	1		moors
27 bachelor's walk	1		moors
31 dame street	1		moors
island street	1		moors
fleet street	1		moors
bedford row	1		moors
ormond quay lower	1		moors
mary's abbey	1		moors
christchurch place	1		moors
lord edward street	1		moors
cork hill	1		moors
parliament street	1		moors
33 dame street	1		moors
nelson street	1		moors
60 mount street lower	1		moors
clare street	1		moors
31 merrion square north	1		moors
1 merrion square north	1		moors
wicklow street	1		moors
bridge street	1		moors
sean heuston bridge	1		moors
rory o'more bridge	1		moors
father mathew bridge	1		moors
29 kildare street	1		moors
arran quay	1		moors
o'donovan rossa bridge	1		moors
ormond quay upper	1		moors
wood quay	1		moors
grattan bridge	1		moors
11 wellington quay	1		moors
2 wellington quay	1		moors
granby row	1		moors
merrion square	1		moors
mount street lower	1		moors
haddington road	1		moors
northumberland road	1		moors
loopline bridge	1		moors
sandycove	1		moors
dalkey, dublin bay	1		religiousphilosophers aristotle
sandymount strand	1		religiousphilosophers aristotle
leeson park	1		religiousphilosophers aristotle
7 eccles street	1		religiousphilosophers aristotle
windmill lane	1		religiousphilosophers aristotle
18 rogerson's quay	1		religiousphilosophers aristotle
19 rogerson's quay	1		religiousphilosophers aristotle
lime street	1		religiousphilosophers aristotle
townsend street	1		religiousphilosophers aristotle
26 lombard street e.	1		religiousphilosophers aristotle
164 north strand road	1		religiousphilosophers aristotle
6 westland row	1		religiousphilosophers aristotle
49 westland row	1		religiousphilosophers aristotle
31 westland row	1		religiousphilosophers aristotle
pearse street	1		religiousphilosophers aristotle
cumberland street	1		religiousphilosophers aristotle
153 pearse street	1		religiousphilosophers aristotle
the coombe	1		religiousphilosophers aristotle
46 westland row	1		religiousphilosophers aristotle
1 lincoln place	1		religiousphilosophers aristotle
11 leinster street	1		religiousphilosophers aristotle
arbour hill	1		religiousphilosophers aristotle
ringsend road	1		religiousphilosophers aristotle
hume street	1		religiousphilosophers aristotle
nelson's pillar	1		religiousphilosophers aristotle
rutland grove	1		religiousphilosophers aristotle
blessington street	1		religiousphilosophers aristotle
berkely street	1		religiousphilosophers aristotle
eccles street	1		religiousphilosophers aristotle
phibsborough road	1		religiousphilosophers aristotle
finglas road	1		religiousphilosophers aristotle
mountjoy square	1		religiousphilosophers aristotle
fitzgibbon street	1		religiousphilosophers aristotle
north circular road	1		religiousphilosophers aristotle
n. strand road	1		religiousphilosophers aristotle
newcomen bridge	1		religiousphilosophers aristotle
annesley bridge	1		religiousphilosophers aristotle
howth road	1		religiousphilosophers aristotle
malahide road	1		religiousphilosophers aristotle
dorset street lower	1		religiousphilosophers aristotle
clongowes fields	1		religiousphilosophers aristotle
grafton street	1		religiousphilosophers aristotle
college green	1		religiousphilosophers aristotle
8 ormond quay upper	1		religiousphilosophers aristotle
crampton court	1		religiousphilosophers aristotle
sycamore street	1		religiousphilosophers aristotle
jervis street	1		religiousphilosophers aristotle
essex street east	1		religiousphilosophers aristotle
merchant's arch	1		religiousphilosophers aristotle
wellington quay	1		religiousphilosophers aristotle
42 camden street lower	1		religiousphilosophers aristotle
25 bachelor's walk	1		religiousphilosophers aristotle
dame street	1		religiousphilosophers aristotle
o'connell bridge	1		religiousphilosophers aristotle
watling street	1		religiousphilosophers aristotle
27 bachelor's walk	1		religiousphilosophers aristotle
31 dame street	1		religiousphilosophers aristotle
island street	1		religiousphilosophers aristotle
fleet street	1		religiousphilosophers aristotle
bedford row	1		religiousphilosophers aristotle
ormond quay lower	1		religiousphilosophers aristotle
mary's abbey	1		religiousphilosophers aristotle
christchurch place	1		religiousphilosophers aristotle
lord edward street	1		religiousphilosophers aristotle
cork hill	1		religiousphilosophers aristotle
parliament street	1		religiousphilosophers aristotle
33 dame street	1		religiousphilosophers aristotle
nelson street	1		religiousphilosophers aristotle
60 mount street lower	1		religiousphilosophers aristotle
clare street	1		religiousphilosophers aristotle
31 merrion square north	1		religiousphilosophers aristotle
1 merrion square north	1		religiousphilosophers aristotle
wicklow street	1		religiousphilosophers aristotle
bridge street	1		religiousphilosophers aristotle
sean heuston bridge	1		religiousphilosophers aristotle
rory o'more bridge	1		religiousphilosophers aristotle
father mathew bridge	1		religiousphilosophers aristotle
29 kildare street	1		religiousphilosophers aristotle
arran quay	1		religiousphilosophers aristotle
o'donovan rossa bridge	1		religiousphilosophers aristotle
ormond quay upper	1		religiousphilosophers aristotle
wood quay	1		religiousphilosophers aristotle
grattan bridge	1		religiousphilosophers aristotle
11 wellington quay	1		religiousphilosophers aristotle
2 wellington quay	1		religiousphilosophers aristotle
granby row	1		religiousphilosophers aristotle
merrion square	1		religiousphilosophers aristotle
mount street lower	1		religiousphilosophers aristotle
haddington road	1		religiousphilosophers aristotle
northumberland road	1		religiousphilosophers aristotle
loopline bridge	1		religiousphilosophers aristotle
sandycove	1		religiousphilosophers aristotle
dalkey, dublin bay	1		james ii of england
sandymount strand	1		james ii of england
leeson park	1		james ii of england
7 eccles street	1		james ii of england
windmill lane	1		james ii of england
18 rogerson's quay	1		james ii of england
19 rogerson's quay	1		james ii of england
lime street	1		james ii of england
townsend street	1		james ii of england
26 lombard street e.	1		james ii of england
164 north strand road	1		james ii of england
6 westland row	1		james ii of england
49 westland row	1		james ii of england
31 westland row	1		james ii of england
pearse street	1		james ii of england
