"NAME","ROLE"
"Clarke, Henry 1762","Stationer"
"B√ºchner, Andreas Elias, 1701-1769.","Author"
"Hawkesworth, John, 1715?","Author"
"Payne, Henry 1760","Bookseller, Publisher"
"Cropley, William 1762","Bookseller"
"Read, John 1762","Stationer"
"Kames, Henry Home, Lord, 1696-1782.","Author"
"Smith, Charlotte Turner, 1749-1806.","Author"
"Gough, Strickland, d. 1752.","Author"
"Warton, Joseph, 1722-1800.","Author"
"Tickell, Mr. (Thomas), 1686-1740.","Author"
"Holman, J. G. (Joseph George), 1764-1817.","Author"
"Cawthorn, George 1790","Bookbinder, Bookseller, Stationer, Printer, Publisher, Librarian/owner of circulating library"
"Hawkins, John, Sir, 1719-1789.","Author"
"Academy of Ancient Music.","Author"
"Threlfal, William.","Author"
"Stuart, Zachariah 1758","Bookseller, Bookseller (wholesale)"
"Earle, James, Sir, 1755-1817.","Author"
"Clarke, Charles 1799","Stationer"
"Mears, William 1713","Bookseller, Stationer"
"Brown, J 1716","Printer"
"Goldsmith, William 1772","Bookseller, Publisher (music)"
"O'Brien, William, d. 1815.","Author"
"Theobald, Mr. (Lewis), 1688-1744.","Author"
"Turner, Daniel, 1667-1741.","Author"
"Robinson, George 1782","Bookseller"
"Reymers, Charles 1756;",NA
"O'Hara, Kane, 1714?","Author"
"Pythagoras.","Author"
"Rowe, Nicholas, 1674-1718.","Author"
"Twiss, Richard, 1747-1821.","Author"
"Staggs, J 1719","Bookseller"
"Chetwood, William Rufus 1713","Bookseller"
"Jones, Charles, footman.","Author"
"Fielder, John 1777","Bookseller"
"Douglas, James, 1675-1742.","Author"
"Tristram, John.","Author"
"Parsons, Jonathan 1789","Stationer"
"Cunningham, John, of Deptford.","Author"
"Mallett, J 1767","Printer"
"Deacon, Robert 1782","Bookseller, Stationer"
"Walter, John 1785","Publisher"
"Popple, William, 1701-1764.","Author"
"Brindley, J 1730","Bookseller"
"Pitt, William, Earl of Chatham, 1708-1778.","Author"
"Chambers, John 1794","Stationer"
"Hookes, James 1711","Stationer"
"Jefferies, Francis 1703","Bookbinder"
"Graves, John 1718","Stationer"
"Harris, William 1771","Bookseller"
"Ridley, James 1769","Bookseller"
"Burke, Richard, 1733-1794.","Author"
"Reeve, William 1745","Bookseller, Printer, Publisher"
"Cunningham, John, 1729-1773.","Author"
"Lowndes, William 1781","Bookseller, Publisher ?"
"Wheble, John 1772","Bookseller"
"Manley, Mrs. (Mary de la Rivi√®re), 1663-1724.","Author"
"Barber, John 1718","Stationer"
"Spilsbury, Thomas 1776","Stationer"
"Caslon, Thomas 1750","Bookseller, Publisher, Publisher (music) ?"
"White, Gilbert, 1720-1793.","Author"
"Bensley, Thomas II 1775","Printer, Publisher, Printer (music) ?"
"White, Joseph 1796","Stationer"
"Wilcox, Thomas 1740","Bookseller, Librarian/owner of circulating library ?"
"Shebbeare, John, 1709-1788.","Author"
"Phillips, John 1707","Bookseller, Publisher"
"Ditton, Humphry, 1675-1715.","Author"
"Hett, Richard 1717","Stationer"
"Doddridge, Philip, 1702-1751.","Author"
"Stamper, F 1750","Bookseller"
"Culley, George, 1735-1813.","Author"
"Hodgson, S 1795","Bookseller"
"Bailey, J. (John), 1750-1819.","Author"
"Rennie, George, 1749-1828.","Author"
"Shirreff, John, 1759-1818.","Author"
"Brown, Robert, 1757-1831.","Author"
"Griffiths, Ralph 1720","Bookseller, Publisher, Publisher (newspaper)"
"Douglas, John, ca. 1680-1743.","Author"
"Lillo, George, 1693-1739.","Author"
"Gray, J 1729","Printer"
"Davies, Charles 1793","Bookseller, Stationer"
"Downing, Joseph 1679","Stationer"
"Owen, Edward 1745","Bookseller, Printer"
"Oldys, William, 1696-1761.","Author"
"Clements, Richard 1721","Bookseller, Printer, Publisher"
"Barrett, John 1744","Bookseller"
"Merrill, Joseph 1733","Bookseller, Publisher"
"Bentham, Joseph 1740","Printer, Bookseller"
"Cook, Edward 1736","Fellmonger (apprentice)"
"Leake, James 1733","Bookseller"
"Shuckburgh, John 1727","Bookseller, Publisher"
"Jolliffe, John 1731","Bookseller, Bookseller (pamphlet), Publisher, Stationer"
"Guiton, Mademoiselle (Marie)","Author"
"Spavan, R 1749","Bookseller"
"Woodfall, George 1742","Bookseller, Printer, Pamphlet seller, Stationer"
"Chapelle, Henry 1720","Bookseller, Stationer"
"Brand, Hannah, d. 1821.","Author"
"Meeres, Hugh 1705","Printer, Printer (music)"
"Smart, Christopher, 1722-1771.","Author"
"Mountfort, C 1753","Printer, Bookseller"
"Duckett, George, 1684-1732.","Author"
"Turpin, Homan 1750","Bookseller, Map/chart seller, Publisher"
"Crosby, Benjamin 1793","Bookseller"
"Arrowsmith, Thomas 1794","Bookseller"
"Payne, John 1764","Fellmonger (apprentice)"
"Spence, Thomas 1790","Printer"
"Wallis, John 1775","Publisher ?, Bookseller, Map/chart seller, Print seller, Music seller, Cartographer"
"Wright, John 1800","Engraver/etcher"
"Wright, Griffith I 1733","Printer, Printer (newspaper)"
"General Infirmary at Leeds.","Author"
"Millar, A 1738","Publisher"
"Smith, William 1734","Printer"
"Cooke, John 1748","Stationer"
"Stevens, George Alexander, 1710-1784.","Author"
"Noble, Francis 1739","Bookseller, Librarian/owner of circulating library"
"Bigg, George 1769","Printer, Printer (music)"
"Dampier, Henry.","Author"
"Longman, Mary 1756","Bookseller"
"Burd, John 1761","Stationer"
"Jones, Henry, fl. 1782.","Author"
"Evans, Thomas 1776","Stationer"
"Dow, Alexander, d. 1779.","Author"
"Lloyd, Robert.","Author"
"Blandford, Nicholas 1715","Bookseller, Music seller ?, Publisher (music), Publisher, Stationer"
"Chatterton, Thomas, 1752-1770.","Author"
"Hooke, John 1704","Stationer"
"Ward, T 1737","Bookseller"
"Gillett, Thomas 1799","Printer"
"Portal, Abraham 1779","Music seller, Stationer"
"Gibbon, Edward, 1737-1794.","Author"
"Monk, John II 1770","Printer, Publisher (newspaper), Printer (newspaper)"
"Woodfall, George 1794","Bookseller ?, Printer"
"Bellinger, Francis, d. 1721.","Author"
"Whiston, John 1711","Bookseller, Music seller ?, Publisher"
"Hoffmann, Friedrich, 1660-1742.","Author"
"Miller, William 1801","Publisher"
"Gosnell, Samuel 1788","Printer"
"Funnell, William.","Author"
"Botham, William 1683","Stationer"
"Barker, Benjamin 1701","Bookseller, Publisher"
"Ridgway, John 1784","Publisher, Publisher (newspaper)"
"Montagu, Richard 1718","Bookseller, Pamphlet seller"
"Sackfield, John 1713","Bookseller, Stationer"
"Samber, Robert.","Author"
"Holland, James 1714","Bookseller"
"Hunter, William, 1718-1783.","Author"
"Hansard, Luke 1752","Printer (apprentice), Bookseller (apprentice)"
"Jones, John 1791","Bookseller"
"Lilburne, Pat 1786","Bookbinder"
"Freer, George I 1711","Bookseller, Bookbinder"
"Rymer, James, fl. 1770-1833.","Author"
"Cheyne, George, 1673-1743.","Author"
"Mead, Richard, 1673-1754.","Author"
"Monro, Alexander, 1733-1817.","Author"
"Cox, Thomas 1716","Bookseller, Publisher"
"Dutton, J 1708","Printer"
"Meddows, W 1717","Bookseller"
"Arbuthnot, John, of Mitcham.","Author"
"Harding, John 1799","Publisher, Bookseller"
"Disraeli, Isaac, 1766-1848.","Author"
"Davis, Lockyer 1785","Printer"
"Flemyng, Malcolm, d. 1764.","Author"
"Rudd, Sayer, d. 1757.","Author"
"Shaw, Peter, 1694-1763.","Author"
"Leake, J 1725","Publisher"
"Robinson, John 1750","Bookseller"
"Curry, John, d. 1780.","Author"
"Wilsonn, Richard 1746","Stationer"
"Carnan, Thomas 1737","Bookseller, Publisher"
"Osborne, John 1733","Bookseller"
"Rivington, James 1740","Bookseller, Printer"
"Leake, John 1742","Printer"
"Jarvis, James 1747","Printer"
"Rivington, J & J 1742","Bookseller, Printer"
"Leake, James 1752","Stationer"
"Hitch, Charles 1754","Stationer"
"Rivington, James 1757","Publisher"
"Wintringham, Clifton, 1689-1748.","Author"
"Burnett, George 1758","Bookseller, Bookbinder, Stationer, Publisher"
"Law, Bedwell 1745","Bookseller, Publisher, Publisher (maps)"
"Barker, John, b. 1730.","Author"
"Beilby, Ralph, 1743-1817.","Author"
"Bewick, Thomas 1753","Engraver/etcher, Publisher"
"Beilby, Ralph 1743","Engraver/etcher, Publisher"
"Catherwood, John, b. 1686.","Author"
"Browne, Jonah (Jonas) 1713","Bookseller"
"Mandeville, Bernard, 1670-1733.","Author"
"Blumenbach, Johann Friedrich, 1752-1840.","Author"
"Sedaine, 1719-1797.","Author"
"Hicks, T.","Author"
"Peisley, Anthony 1700","Bookseller"
"Lucas, Charles, 1713-1771.","Author"
"Walpole, Horace, 1717-1797.","Author"
"Burdon, Thomas 1757","Bookseller, Newsagent/vendor/man/news agent"
"Collins, Benjamin Charles 1758","Printer, Publisher, Bookseller"
"Girdlestone, Thomas, 1758-1822.","Author"
"Brooke, Frances, 1724?","Author"
"Clarke, John 1746","Bookseller"
"La Harpe, Jean-FranÁois de, 1739-1803.","Author"
"Russell, John 1777","Bookseller"
"Woodyer, William 1756","Bookseller, Publisher"
"Charnley, William 1727","Bookseller, Stationer, Publisher, Bookbinder, Librarian/owner of circulating library"
"Fletcher, James 1746","Bookseller, Publisher"
"Brand, John, 1744-1806.","Author"
"Johnston, William 1748","Bookseller"
"Chaigneau, William, 1709-1781.","Author"
"Millar, Andrew 1767","Bookseller"
"Scott, M 1782","Printer"
"Davies, Jonas 1785","Printer"
"Wenman, Joseph 1775","Stationer, Bookseller, Publisher"
"Waller, Thomas 1761","Stationer"
"Walton, Jacob, d. 1743.","Author"
"Reeves, William 1756","Stationer"
"Charke, Charlotte, 1713-1760.","Author"
"Seeley, Benton 1744","Bookseller, Printer, Stationer, Bookbinder"
"Davenhill, Mary 1779","Bookseller, Stationer, Printer (music)"
"Hitchcock, Robert, d. 1809.","Author"
"Metastasio, Pietro, 1698-1782.","Author"
"Baker, S 1717","Bookseller"
"Bunce, William 1765","Bookseller, Printer"
"Leacroft, Samuel 1771","Bookseller"
"Millidge, Josiah 1749","Printer"
"Smith, Elizeus 1719","Stationer"
"Bond, William, d. 1735.","Author"
"Graves, W 1718","Bookseller"
"Meadows, William 1714","Bookseller, Publisher"
"Williams, Helen Maria, 1762-1827.","Author"
"Edlin, Thomas 1720","Bookseller, Printer, Bookbinder"
"Stagg, J 1729","Printer"
"Worrall, Thomas 1724","Bookseller, Publisher"
"Williams, James 1754","Bookbinder"
"Trusler, Dr John 1791","Bookseller"
"Hodges, James 1740","Publisher"
"Birt, S 1743","Bookseller"
"Bernard, Samuel 1692","Stationer"
"Cooper, Joseph 1763","Stationer, Bookbinder, Bookbinder (vellum)"
"Dod, Benjamin 1738","Bookseller"
"Clive, Mrs. (Catherine), 1711-1785.","Author"
"Osborn, John II 1735","Bookseller, Publisher"
"Matthews, Emmanuel 1683","Bookbinder, Printer, Stationer, Bookseller"
"Ramsay, Allan, 1686-1758.","Author"
"Mechell, James 1732","Printer, Bookseller, Newspaper proprietor"
"Baratier, Fran√ßois, 1682-1751.","Author"
"Rivington, Charles 1731","Stationer"
"Elmsley, Peter 1736","Bookseller, Publisher"
"Grigg, Emanuel 1783","Printer, Bookseller, Stationer, Publisher (newspaper)"
"Downman, Hugh, 1740-1809.","Author"
"Fielding, William 1776","Engraver/etcher"
"Norbury, Philip 1763","Printer, Bookseller, Stationer, Librarian/owner of circulating library"
"Baldwin, Robert 1717","Stationer"
"Corbett, M 1709","Bookseller"
"Fern, Thomas.","Author"
"Moore, Charles 1703","Engraver/etcher"
"Harrop, John 1792","Printer"
"Consett, Matthew.","Author"
"Lewis, Thomas Charles 1791","Stationer"
"Christopher, R 1783","Bookseller ?"
"Rutty, William, 1687-1730.","Author"
"Dyer, John, d. 1729.","Author"
"Nutt, Mrs 1728","Bookseller"
"Applebee, John 1711","Printer, Bookseller"
"Woodward, James 1705","Bookseller, Publisher"
"Sympson, C 1753","Bookseller, Printer, Bookseller (wholesale), Publisher"
"Jollie, Francis II 1791","Printer, Publisher, Bookseller, Newspaper proprietor"
"Griffith, Richard, d. 1788.","Author"
"Highley, Samuel 1796","Bookseller, Publisher"
"James, George 1709","Printer"
"Rames, Aaron 1704","Stationer"
"Scott, John 1748","Bookseller, Printer, Publisher"
"Richardson, William 1799","Rag-merchant"
"Rivers, David.","Author"
"Egerton, Thomas 1784","Bookseller"
"Sowle, J 1712","Bookseller, Printer"
"Hutchinson, William, 1732-1814.","Author"
"Harrison, Thomas 1780","Printer"
"Jaques, Dennett 1781","Printer, Bookseller, Stationer, Print seller, Librarian/owner of circulating library ?"
"Stockdale, John 1749","Bookseller, Stationer, Publisher, Publisher (maps)"
"Sheridan, Thomas, 1719-1788.","Author"
"Corrall, George 1775","Bookseller, Publisher, Publisher (newspaper)"
"Hooper, Samuel 1756","Bookseller, Print seller, Publisher (music), Publisher (maps)"
"Law, B 1773","Bookseller"
"Pulteney, Richard, 1730-1801.","Author"
"Watts, Isaac, 1674-1748.","Author"
"Smith, George 1749","Stationer"
"Shiells, Robert, d. 1753.","Author"
"Dyer, John, 1652 or 3-1713.","Author"
"Delannoy, George 1675","Stationer"
"Aikin, John, 1747-1822.","Author"
"Newbery, Elizabeth Mrs 1780","Bookseller"
"Seeley, Benton 1782","Bookseller, Stationer"
"Williams, John 1779","Engraver/etcher, Print seller"
"Coxe, William, 1747-1828.","Author"
"Jardine, Alexander, d. 1799.","Author"
"Cluer, John 1710","Printer (chapbook), Music seller, Printer, Publisher, Printer (music), Printer (dramatic/theatrical)"
"Pickman, Cha 1730","Printer, Bookseller"
"Atkins, John, 1685-1757.","Author"
"Goldson, William.","Author"
"Berquin, M. (Arnaud), 1747-1791.","Author"
"Rushworth, John, 1669-1736.","Author"
"Slack, T 1769","Bookseller"
"Richardson, Samuel 1689","Printer, Publisher, Stationer, Author"
"Davies, William 1802","Engraver/etcher"
"MacDonald, John, b. 1741?","Author"
"Forbes, John 1786","Bookseller, Stationer"
"Steare, Staples 1768","Bookseller"
"Firishtah, Mu·∏•ammad QƒÅsim Hind≈´ ShƒÅh AstarƒÅbƒÅdƒ´.","Author"
"Campbell, John 1792","Bookseller"
"Trewman & son, R 1789","Printer, Bookseller, Stationer"
"Wilkie, Thomas 1783","Bookseller"
"French, John 1786","Bookseller"
"Banyer, Henry, fl. 1718-1736.","Author"
"Cooke, C 1800","Publisher"
"Green, Thomas 1726","Bookseller, Publisher"
"Amhurst, N. (Nicholas), 1697-1742.","Author"
"Morland, John, M.D.","Author"
"Godwin, William, 1756-1836.","Author"
"Winchilsea, Anne Kingsmill Finch, Countess of, 1661-1720.","Author"
"Round, James 1702","Bookseller"
"Slare, Frederick, 1646 or 7-1727.","Author"
"Favart, M. (Charles-Simon), 1710-1792.","Author"
"Knapton, J & P 1738","Bookseller"
"Donaldson, J. (John), 1737-1801.","Author"
"Cotton, John 1741","Printer"
"Eddowes, Joshua 1724","Printer, Bookseller, Bookbinder ?"
"Fenner, William 1757","Stationer"
"Waugh, James 1747","Bookseller, Printer, Publisher, Stationer"
"Buckland, James 1710","Bookseller, Publisher, Publisher (music), Print seller"
"Fisher, Thomas 1763","Printer, Publisher, Stationer, Bookseller, Bookseller (antiquarian), Bookbinder, Librarian/owner of circulating library"
"Smith, Adam, 1723-1790.","Author"
"Wilks, Thomas 1793","Stationer"
"Malthus, T. R. (Thomas Robert), 1766-1834.","Author"
"Way, G. L. (Gregory Lewis), d. 1799.","Author"
"Gardner, Henry 1774","Stationer, Bookseller, Publisher"
"Hodgson, Sarah Mrs 1760","Printer, Bookseller, Stationer, Bookbinder, Publisher"
"Vesey, Marshall 1749","Printer ?, Bookseller, Stationer, Print seller, Bookbinder, Librarian/owner of circulating library"
"Butler, Mr 1762","Stationer, Print seller"
"Fournel, M. (Jean-Fran√ßois), 1745-1820.","Author"
"Bell, John, professor of animal magnetism.","Author"
"Hope, Thomas 1758","Bookseller, Publisher"
"Tovey, Barnes 1750","Bookseller, Publisher"
"Worrall, John 1734","Bookseller, Publisher, Bookseller (law), Bookbinder"
"Payne, Thomas 1784","Bookseller"
"Burney, Fanny, 1752-1840.","Author"
"Lawrence, M 1715","Bookseller"
"Bruce, John 1785","Bookseller, Stationer, Newsagent/vendor/man/news agent"
"Kent, William 1775","Stationer"
"King, Thomas, fl. 1791.","Author"
"Paramore, John 1769","Bookseller, Printer"
"Riedel, C 1789","Bookseller"
"Baynes, William 1792","Bookseller"
"Blane, Gilbert, Sir, 1749-1834.","Author"
"Vaughan, Thomas, b. 1689 or 1790.","Author"
"Sandby, William 1734","Stationer"
"Taylor, William 1724","Bookseller"
"Sloane, Hans, Sir, 1660-1753.","Author"
"Parker, William 1729","Bookseller, Stationer, Publisher"
"Latham, John, 1697 or 8-1754.","Author"
"Gooding, John 1741","Printer"
"Edwards, James P 1792","Stationer"
"Pollard, R 1793","Librarian/owner of circulating library, Publisher"
"Pollard, Robert, 1755-1838.","Author"
"Chapman, Thomas 1795","Stationer"
"Brown, John, 1722-1787.","Author"
"Todd, John 1757","Bookseller, Stationer"
"Ward, Ann 1760","Stationer"
"Mayo, John 1697","Printer"
"Dibdin, Charles 1745","Music seller, Publisher (music), Author, Author (dramatic/theatrical)"
"Reresby, John, Sir, 1634-1689.","Author"
"Fielding, J 1781","Bookseller"
"Forbes of Pitsligo, Alexander Forbes, Lord, 1678-1762.","Author"
"Townley, James, 1714-1778.","Author"
"Gosling, Francis 1741","Bookseller, Publisher"
"Amory, Thomas, 1691?","Author"
"Heysham, John, 1753-1834.","Author"
"Hudibras, Hugh.","Author"
"Browne, William 1780","Printer"
"Polesworth, Humphry, Sir, 18th cent.","Author"
"Wilkins, Thomas 1784","Printer, Bookseller"
"Jardine, L. J., fl. 1795.","Author"
"Cruttwell, Richard Shuttleworth 1790","Stationer"
"Buckland, John 1776","Stationer"
"Bromehead, Joseph, b. 1747 or 8.","Author"
"Faden, William 1757","Stationer"
"Davis, Mary 1780","Bookseller, Stationer"
"Fletcher, Joseph 1773","Librarian/owner of circulating library"
"Lockett, Thomas 1780","Printer, Stationer, Bookseller, Librarian/owner of circulating library"
"Crane, John, physician at Dorchester.","Author"
"Wilkie, George 1780","Stationer"
"Jermyn, George 1759","Printer, Publisher, Bookseller, Stationer"
"Hamilton, Robert, 1749-1830.","Author"
"Jackson, William 1772","Stationer"
"Lewis, Mayer.","Author"
"Hodgson, Francis I 1754","Printer, Bookseller"
"White, John, 1757 or 8-1832.","Author"
"Galabin, William John 1779","Stationer"
"Leach, Dryden 1746","Printer"
"White, John 1727","Stationer"
"Bourne, Henry, 1696-1733.","Author"
"Smith, Benjamin 1784","Stationer"
"Kaye, Thomas 1780","Bookseller, Printer, Bookbinder, Stationer, Newspaper proprietor"
"Webb, Mr 1723","Bookseller"
"Bryson, Martin 1684","Bookseller, Publisher, Stationer, Bookbinder"
"Dodsley, Robert, 1703-1764.","Author"
"Hughs, John 1721","Stationer"
"Hughs, John 1760","Stationer"
"Lewis, John 1741","Bookseller, Printer"
"Crowder, Stanley 1782","Stationer"
"Jones, Robert, M.D.","Author"
"Collins, Charles Benjamin 1785","Printer"
"Pearch, G.","Author"
"Pearch, G 1772","Bookseller"
"Richardson, William 1761","Printer, Publisher ?"
"Robinson, George 1751","Textiles and clothing (cotton spinner)"
"Slack, Thomas 1719","Printer, Publisher, Bookseller, Stationer"
"Dyde, William 1793","Printer, Publisher, Editor/Compiler"
"Wilkie, John 1759","Publisher (magazine)"
"Frewen, Thomas, 1704-1791.","Author"
"Crosfeild, Robert Thomas, 1759-1802.","Author"
"Johnstone, Charles, 1719?","Author"
"Riley, George 1778","Bookseller"
"Pinto, Isaac de, 1715-1787.","Author"
"Leland, Thomas, 1722-1785.","Author"
"Butler, Sarah, Mrs.","Author"
"Crowder, John 1787","Printer, Stationer"
"Wilson, William 1799","Printer, Stationer"
"Trinder, William Martin.","Author"
"Butters, Robert 1765","Printer, Bookseller, Stationer"
"Thompson, John-Weeks.","Author"
"Taylor, Jefferys 1792","Engraver/etcher"
"Hickey, Benjamin 1730","Bookseller, Printer, Bookbinder, Stationer, Librarian/owner of circulating library"
"Wilson, Thomas 1780","Printer, Bookseller"
"Frobisher, Nathaniel 1775","Stationer, Bookseller"
"Robins, Benjamin, 1707-1751.","Author"
"Matthews, John 1781","Print seller"
"Murray, John II 1778","Publisher, Bookseller"
"Johnson, Job 1765","Stationer"
"Duck, Arthur.","Author"
"Shatwell, Peter 1770","Bookseller, Publisher"
"Farley, Samuel III 1754","Newspaper proprietor, Printer, Bookseller"
"Purney, Thomas, 1695-ca. 1727.","Author"
"Browne, John 1718","Bookseller, Bookbinder"
"Giffard, Henry, 1699-1772.","Author"
"Chapman, Samuel 1726","Bookseller"
"Collins, William, 1721-1759.","Author"
"Hassel, James 1768","Bookbinder"
"Fletcher, John 1756","Printer, Printer (copperplate), Publisher (newspaper)"
"Dicey, Cluer 1736","Printer, Publisher (chapbook), Map/chart seller, Publisher (prints)"
"Green, William 1761","Engraver/etcher"
"Lacy, J 1757","Bookseller, Publisher"
"Rogers, Elizabeth Miss 1759","Newsagent/vendor/man/news agent"
"Sarn, Peter van, d. 1766.","Author"
"Carr, Peter 1755","Bookseller, Stationer"
"Moore, Joseph Kenton 1796","Stationer"
"Jackson, W 1754","Printer"
"Parker, Samuel 1757","Engraver/etcher"
"White, Lawrence 1760","Stationer"
"Leapor, Mrs. (Mary), 1722-1746.","Author"
"Faulkner, George, 1699?","Author"
"Midriff, John, Sir.","Author"
"Davenport, B 1766","Publisher"
"Millidge, Josiah 1777","Printer"
"Walker, James 1779","Stationer"
"Harrison, John Rev 1769","Stationer"
"Sheridan, Frances Chamberlaine, 1724-1766.","Author"
"Jenkins, Christopher 1758","Stationer"
"Walker, Taylor 1777","Print seller"
"Burton, Robert 1779","Bookbinder, Librarian/owner of circulating library"
"Nicholson, John I 1781","Bookseller, Publisher, Librarian/owner of circulating library (circulating)"
"Wilkinson, Tate, 1739-1803.","Author"
"Stephanie, Gottlieb, 1741-1800.","Author"
"Mechell, M 1748","Bookseller"
"Jones, Jane 1793","Stationer"
"Moxon, Elizabeth.","Author"
"Lister, James 1736","Printer, Printer (newspaper)"
"Herbert, Isaac 1793","Bookseller, Print seller"
"Nicholson, John 1788","Bookseller, Printer"
"Turner, Matthew, d. ca. 1788.","Author"
"Sadler, John 1720","Printer, Bookseller, Publisher, Engraver/etcher (copperplate)"
"Wilson, George 1724","Printer, Bookseller"
"Downham, E 1751","Bookseller, Publisher"
"Tilly, John 1728","Printer, Publisher"
"Osborne, John 1722","Bookseller"
"Wilde, Allington II 1731","Printer"
"Batley, Jos 1732","Printer ?"
"Midwinter, Daniel 1689","Stationer"
"Rousseau, Jean-Jacques, 1712-1778.","Author"
"Edwin, John, 1749-1790.","Author"
"Clark, S 1768","Printer"
"Allix, J 1768","Bookseller, Publisher"
"Phillips, James 1775","Printer, Bookseller, Stationer, Print seller, Publisher"
"Pennington, Luke 1777","Bookbinder, Printer"
"Beecroft, James 1741","Bookseller (apprentice), Bookbinder (apprentice), Stationer (apprentice)"
"Farmer, Richard, 1735-1797.","Author"
"Hingeston, Mileson 1767","Bookseller, Publisher"
"Woodyer, John 1768","Stationer"
"Archdeacon, John 1725","Printer, Publisher"
"Whiteling, John 1798","Stationer"
"Dudley, Mary Bate.","Author"
"Brown, Hugh W 1799","Printer, Printer (newspaper)"
"Wigstead, Henry.","Author"
"Buffon, Georges Louis Leclerc, comte de, 1707-1788.","Author"
"Wilford, John 1721","Bookseller, Publisher"
"Collins, Arthur 1709","Bookseller"
"Late pupil of Dr. Leake's.","Author"
"Pilkington, Laetitia, 1712-1750.","Author"
"Marra, John.","Author"
"Rickman, John.","Author"
"Stanyan, Temple, 1677?","Author"
"Belloste, Augustin, 1654-1730.","Author"
"Davison, Ralph 1750","Stationer"
"Owen, W 1762","Publisher (maps)"
"Sandford, Francis, 1630-1694.","Author"
"Edwards, Mr 1788","Bookseller"
"Bickerstaff, Isaac, Jun.","Author"
"Bickerstaff, Isaac.","Author"
"Brown, John, 1752-1787.","Author"
"Mist, Nathaniel 1716","Printer, Bookseller"
"Rivington, Charles 1688","Stationer"
"Bulstrode, Richard, Sir, 1610-1711.","Author"
"James, Thomas 1710","Typefounder, Stationer"
"King, Thomas.","Author"
"Barker, James 1801","Stationer"
"Bewick, Thomas, 1753-1828.","Author"
"Robinson, George 1774","Bookseller"
"Douglas, Robert, Sir, 1694-1770.","Author"
"Miller, A 1750","Bookseller"
"Wilson, David 1745","Bookseller, Publisher"
"Nourse, John 1730","Bookseller, Publisher"
"Carnan, T 1772","Bookseller"
"Goldney, Henry 1777","Printer"
"Lowndes, Thomas 1780","Stationer"
"Newbery, Francis 1765","Bookseller, Publisher"
"Stedman, John Gabriel, 1744-1797.","Author"
"Harper, Andrew, d. 1790.","Author"
"Fawkes, Francis, 1720-1777.","Author"
"Woty, William, 1731?","Author"
"Hogg, Alexander 1786","Bookbinder"
"Lewis, Thomas 1794","Bookseller"
"Waller, John 1748","Bookbinder"
"Palmer, Samuel, d. 1732.","Author"
"Watson, James 1728","Bookseller, Publisher, Engraver/etcher"
"Le Tellier, m√©decin de Peronne.","Author"
"Cockell, William.","Author"
"Skirven, J 1800","Printer"
"Cleugh, Alexander 1785","Bookseller, Stationer"
"Bloomfield, Robert, 1766-1823.","Author"
"Lowndes, Charles 1788","Bookseller, Printer"
"Hearty Well-Wisher to Publick Credit.","Author"
"Thornton, Bonnell, 1724-1768.","Author"
"Baldwin, Robert 1748","Bookseller"
"Bond, Richard 1765","Publisher"
"Told, Silas, 1711-1779.","Author"
"Scollick, Thomas 1783","Bookseller"
"Watson, William 1796","Stationer"
"Sheridan, Richard, d. 1793.","Author"
"Cooper, John 1771","Stationer"
"Rozea, Jessington (Jessintour) 1766","Printer, Stationer, Bookseller"
"Dobson, William, b. 1714 or 15.","Author"
"Webb, J 1741","Bookseller"
"Langley, Gilbert.","Author"
"Ryder, Thomas 1765","Stationer"
"Adams, O 1767","Publisher"
"Richardson, Samuel, d. 1805.","Author"
"Button, William I 1788","Bookseller, Publisher ?"
"Bolingbroke, Henry St. John, Viscount, 1678-1751.","Author"
"Westley, Henry 1756","Stationer"
"Bellamy, Thomas 1800","Bookseller (apprentice), Publisher"
"Knapton, J 1706","Printer, Bookseller"
"Logan, William, 1747-1772.","Author"
"Ashburner, James 1768","Publisher"
"Bew, John 1782","Stationer"
"Whitehead, William, of Newcastle.","Author"
"Lawson, Thomas 1750","Printer"
"Marshall, J 1800","Bookseller"
"Cottle, Joseph 1770","Bookseller, Stationer"
"Abraham, John 1776","Printer"
"Lambrechts, Arentius Ferdinand.","Author"
"Parker, H 1710","Printer"
"Author of The practical scheme.","Author"
"McLaren, David, merchant in Leith.","Author"
"Palmer, William, of Great Yarmouth.","Author"
"Hutton, Charles, shipmaster in Culross.","Author"
"Wayland, Levi 1787","Printer, Bookseller"
"Reed, Thomas III 1795","Printer, Bookseller, Stationer"
"Ogden, Bernard, b. 1767.","Author"
"Johnson, Edward 1777","Printer, Bookseller, Printer (newspaper)"
"Davenport, Joshua 1790","Printer"
"Jones, Thomas 1775","Stationer (apprentice)"
"Rice, Patrick 1801","Chapman (hawker)"
"Brown, Charles Brockden, 1771-1810.","Author"
"Aitken, R 1780","Publisher"
"Morgan, John, 1735-1789.","Author"
"Reed, Joseph, 1741-1785.","Author"
"Smith, William, 1727-1803.","Author"
"Watts, Stephen, 1741-1788.","Author"
"Hopkinson, Francis, 1737-1791.","Author"
"Washington, George, 1732-1799.","Author"
"Merry, Robert, 1755-1798.","Author"
"Dillwyn, William, 1743-1824.","Author"
"Allinson, Samuel, d. 1791.","Author"
"Bell, Richard 1776","Publisher (newspaper)"
"Eliot, John, 1604-1690, tr.","translator"
"Mather, Richard, 1596-1669, tr.","translator"
