"NAME","ROLE"
"Tunstall, Cuthbert, 1474-1559.","Author"
"Garter, Thomas.","Author"
"Blount, Edward, fl. 1588-1632.","Author"
"Bollifant, Edmund 1583","Printer"
"Garzoni, Tomaso, 1549?","Author"
"Nash, Thomas, 1567-1601.","Author"
"Gascoigne, George, 1542?","Author"
"Smith, Richard 1552","Bookseller"
"Innocent III, Pope, 1160 or 61-1216.","Author"
"Cawood, Gabriel 1576","Bookseller, Stationer"
"Barker, Christopher I 1529","Bookseller, Printer"
"Gataker, Thomas, 1574-1654.","Author"
"Clifton, Fulke 1615","Bookseller"
"Sibbes, Richard, 1577-1635.","Author"
"Brewster, Edward 1608","Stationer"
"Legate, John 1619","Stationer"
"Sheffard, William 1619","Bookseller"
"Barlow, Timothy 1615","Bookseller"
"Bird, Robert 1621","Bookseller, Publisher"
"Balmford, James, b. 1556.","Author"
"Lee, William 1628","Stationer"
"Bradshaw, William, 1571-1618.","Author"
"Gates, Geffrey.","Author"
"Redmer, Richard 1610","Bookseller"
"Gaultier, Jacques.","Author"
"Gregory XIII, Pope, 1502-1585.","Author"
"Knight, Clement 1600","Stationer"
"White, William 1613","Stationer"
"Gelli, Giovanni Battista, 1498-1563.","Author"
"Barker, William, fl. 1572.","Author"
